rowid,rowid2,hour.range,urban,Weekday.Non-Rain.Construction,Weekday.Non-Rain.Non-Construction,Weekday.Rain.Construction,Weekday.Rain.Non-Construction,Weekend.Non-Rain.Construction,Weekend.Non-Rain.Non-Construction,Weekend.Rain.Construction,Weekend.Rain.Non-Construction
1,2828,Afternoon Rush,Northern Indiana,50,50,50,50,NA,50,NA,50
2,2829,Afternoon Rush,Rural,0,0,1,2,4,0,27,6
2,2830,Afternoon Rush,Rural,0,0,3,8,4,0,27.29,8
2,2831,Afternoon Rush,Rural,0,0,3,11,5,4,27.58,8
2,2832,Afternoon Rush,Rural,0,0,4,13,6,7,27.87,8
2,2833,Afternoon Rush,Rural,0,0,4,15,6,7,29.44,9.2
2,2834,Afternoon Rush,Rural,0,0,4,17,7,8,32.05,14
2,2835,Afternoon Rush,Rural,0,0,4,19,7,9,34.66,14
2,2836,Afternoon Rush,Rural,0,0,5,21,7,10,37,14
2,2837,Afternoon Rush,Rural,0,0,5,21,7,11,37,31
2,2838,Afternoon Rush,Rural,0,0,6,22,7.67,11,37,32.9
2,2839,Afternoon Rush,Rural,0,0,6,23,8,12,37,34.5
2,2840,Afternoon Rush,Rural,0,0,6,24,8,12,37.19,35
2,2841,Afternoon Rush,Rural,0,0,6,24,9,12,37.48,35
2,2842,Afternoon Rush,Rural,0,0,7,24,9,14,37.77,35
2,2843,Afternoon Rush,Rural,0,0,7,25,9,14,38,36
2,2844,Afternoon Rush,Rural,0,0,7,25,9,15.8,38,36
2,2845,Afternoon Rush,Rural,0,2,7,26,9,16,38,36.8
2,2846,Afternoon Rush,Rural,0,2,8,27,9,18.04,38,38
2,2847,Afternoon Rush,Rural,0,3,9,27,9,21,38,39
2,2848,Afternoon Rush,Rural,0,3,9,27,9,23,38,39
2,2849,Afternoon Rush,Rural,0,4,11,28,10,24,38,40
2,2850,Afternoon Rush,Rural,0,4,12,28,10,25,38.18,40
2,2851,Afternoon Rush,Rural,0,4,13,28,10,25,38.76,40.1
2,2852,Afternoon Rush,Rural,0,5,15,29,10,27,39.34,41.15
2,2853,Afternoon Rush,Rural,0,6,16,29,11,28,39.92,42
2,2854,Afternoon Rush,Rural,0,6,17,29,11,29,40,42
2,2855,Afternoon Rush,Rural,0,6,19,30,11.38,30,40,43
2,2856,Afternoon Rush,Rural,0,7,19,30,12,32,40,43
2,2857,Afternoon Rush,Rural,0,7,19.64,30,12,32,40,43.4
2,2858,Afternoon Rush,Rural,0,8,21,31,12,33,40,44
2,2859,Afternoon Rush,Rural,0,9,21,32,12,34,40,45
2,2860,Afternoon Rush,Rural,0,9,22,32,13,35,40,45
2,2861,Afternoon Rush,Rural,0,10,22,32,13,36,40.56,45
2,2862,Afternoon Rush,Rural,0,11,23,32,14,36,41.14,45
2,2863,Afternoon Rush,Rural,0,12,24,33,14,37,41.72,46
2,2864,Afternoon Rush,Rural,0,13,24,33,14,38,42.6,46
2,2865,Afternoon Rush,Rural,0,14,25,34,15,38,43.76,46
2,2866,Afternoon Rush,Rural,0,15,25,34,15.31,39,44.92,46
2,2867,Afternoon Rush,Rural,0,16,25,34,16,39,46.02,46
2,2868,Afternoon Rush,Rural,3,17,25,34,16,40,46.31,46
2,2869,Afternoon Rush,Rural,4,19,26,35,16,40,46.6,46
2,2870,Afternoon Rush,Rural,5,21,27,35,16,40,46.89,46
2,2871,Afternoon Rush,Rural,6,23,27,35,17,41,47,47
2,2872,Afternoon Rush,Rural,7,25,28,35,17,41,47,47
2,2873,Afternoon Rush,Rural,9,26,29,36,17,41,47,47
2,2874,Afternoon Rush,Rural,9,28,29,36,17,42,47,47
2,2875,Afternoon Rush,Rural,10,30,29,37,18,42,47,47
2,2876,Afternoon Rush,Rural,11,30,30,37,19,42,47,47
2,2877,Afternoon Rush,Rural,11,32,30,37,19,42,47,47
2,2878,Afternoon Rush,Rural,12,33,31,37,19,43,47,47
2,2879,Afternoon Rush,Rural,12,34,32,38,19,43,47,47
2,2880,Afternoon Rush,Rural,12,35,32,38,19,43,47,48
2,2881,Afternoon Rush,Rural,13,36,33,38,20,44,47,48
2,2882,Afternoon Rush,Rural,14,37,34,39,21,44,47,48
2,2883,Afternoon Rush,Rural,14,37,34,39,21,44,47,48
2,2884,Afternoon Rush,Rural,15,38,34,39,22,44,47,48
2,2885,Afternoon Rush,Rural,16,39,35,39,23,45,47.24,48
2,2886,Afternoon Rush,Rural,16,39,35,39,24,45,47.53,48
2,2887,Afternoon Rush,Rural,17,40,35,40,24,45,47.82,48
2,2888,Afternoon Rush,Rural,18,40,36,40,25,45,48.11,48
2,2889,Afternoon Rush,Rural,19,41,36,40,25,45,48.4,48
2,2890,Afternoon Rush,Rural,21,41,37,40,26,45,48.69,49
2,2891,Afternoon Rush,Rural,21,42,37,41,27,46,48.98,49
2,2892,Afternoon Rush,Rural,22,42,37.69,41,27,46,49.27,49
2,2893,Afternoon Rush,Rural,23,43,38,42,28,46,49.56,49
2,2894,Afternoon Rush,Rural,24,43,39,42,29,46,49.85,49
2,2895,Afternoon Rush,Rural,24,43,39,42,30,47,50,49
2,2896,Afternoon Rush,Rural,25,43,39.21,43,30,47,50,49
2,2897,Afternoon Rush,Rural,25,44,40,43,31,47,50,49
2,2898,Afternoon Rush,Rural,26,44,41,43,32,47,50,49
2,2899,Afternoon Rush,Rural,27,44,41,44,32,47,50,49
2,2900,Afternoon Rush,Rural,27,45,42,44,34,47,50,49
2,2901,Afternoon Rush,Rural,28,45,42,44,34,47,50,49
