"xdid","position","lon","lat","direction"
1363533444,24,-85.7651,38.43791,"N"
1363445404,175,-86.07195,39.60934,"N"
1363476188,156,-86.82371,40.42052,"S"
1450832920,106,-87.12253,40.77007,"S"
1363569176,112,-85.9578,39.13106,"N"
1363517400,203,-86.14294,39.76393,"N"
1363468738,438,-85.771,38.50041,"S"
1363490230,166,-86.77073,40.35139,"S"
1363490798,172,-86.73119,40.30912,"S"
1363475390,205,-86.50034,40.07752,"S"
1346389198,336,-86.97688,40.60204,"N"
1363599330,312,-86.0034,39.46213,"S"
1363533666,89,-85.84332,38.95768,"N"
1450838490,38,-87.30801,41.33746,"S"
1346388982,354,-87.0907,40.73312,"N"
1363540518,197,-86.53184,40.14665,"S"
1450761592,439,-87.32141,41.43326,"N"
1363533144,31,-85.77066,38.50144,"N"
1363566836,167,-86.04419,39.5552,"N"
1450780376,414,-87.29501,41.21911,"N"
1363450852,328,-85.94208,39.33087,"S"
1363433368,235,-86.31931,39.90837,"S"
1363433236,231,-86.34643,39.93952,"S"
1363533744,65,-85.82565,38.78367,"N"
1450789643,395,-87.27052,41.05278,"N"
1450803847,84,-87.22191,40.94527,"S"
1450837532,32,-87.32661,41.38826,"S"
1363490935,179,-86.67127,40.27267,"S"
1363517675,180,-86.65897,40.26512,"S"
1363533819,77,-85.80998,38.87088,"N"
1363566775,118,-85.95826,39.17422,"N"
1363503266,252,-86.18772,39.81696,"S"
1363558618,294,-86.06613,39.59392,"S"
1363630582,42,-85.77897,38.59569,"N"
1363484782,234,-86.32476,39.91417,"N"
1363474786,202,-86.51148,40.10463,"S"
1363484614,249,-86.42885,40.00963,"N"
1363468751,437,-85.77183,38.50973,"S"
1363484130,211,-86.16567,39.79146,"N"
1346389006,352,-87.07763,40.71667,"N"
1450838850,8,-87.30645,41.56303,"S"
1450789614,389,-87.26646,40.99927,"N"
139460874,246,-86.40586,39.98978,"N"
1363626446,129,-85.95331,39.263,"N"
1450759884,431,-87.32042,41.3697,"N"
1363456732,293,-86.0692,39.60172,"S"
1363580136,152,-86.84193,40.44354,"S"
1363506561,16,-85.75658,38.37369,"N"
1363626421,131,-85.95666,39.27849,"N"
1346387138,116,-87.06154,40.69588,"S"
1363635381,463,-85.7525,38.30946,"S"
1450804665,91,-87.19989,40.88572,"S"
1450832341,53,-87.28556,41.20315,"S"
1450888354,460,-87.2994,41.58214,"N"
1363484158,207,-86.15187,39.78273,"N"
1363491921,137,-86.92247,40.54642,"S"
1363511909,162,-86.02348,39.51787,"N"
1363628861,244,-86.39009,39.97698,"N"
1363492221,131,-86.96369,40.58784,"S"
1363511666,164,-86.03021,39.53248,"N"
1363485682,300,-86.77531,40.35867,"N"
1363490244,165,-86.77604,40.35925,"S"
1450803192,70,-87.27088,41.05277,"S"
