"","urban","hour.range","weekend","event","construction","mean","min","max","std","var"
"86","Northern Indiana","Evening","Weekend",FALSE,"Non-Construction",65.8127,6,83,7.15563965477199,51.2031788689455
"87","Northern Indiana","Morning","Weekend",FALSE,"Non-Construction",63.1605276983247,9,84,4.6426947608809,21.554614642711
"88","Northern Indiana","Morning Rush","Weekend",FALSE,"Non-Construction",65.632100690577,4,84,4.86109852531765,23.6302788728454
"89","Northern Indiana","Afternoon Rush","Weekend",FALSE,"Non-Construction",67.133373780272,7,83,6.14649159130416,37.7793588819727
"90","Northern Indiana","Evening","Weekend",TRUE,"Non-Construction",64.7446540880503,54,83,5.07490054993998,25.7546155917811
"91","Northern Indiana","Morning","Weekend",TRUE,"Non-Construction",62.8037589828635,44,82,3.69100605326533,13.6235256852413
"92","Northern Indiana","Morning Rush","Weekday",TRUE,"Non-Construction",64.2276785714286,15,83,6.19291900860781,38.3522458471759
"93","Northern Indiana","Morning","Weekday",TRUE,"Non-Construction",63.9806401652039,38,83,4.68020834145102,21.9043501193877
"94","Northern Indiana","Afternoon Rush","Weekday",TRUE,"Non-Construction",63.0699947173798,19,81,6.7153966784927,45.0965525495107
"95","Northern Indiana","Morning Rush","Weekend",TRUE,"Non-Construction",64.7481243301179,42,83,4.6695455944744,21.8046560588753
"96","Northern Indiana","Afternoon Rush","Weekend",TRUE,"Non-Construction",66.5968916949976,6,84,6.99734157859714,48.9627891675643
